bioHazardous	Citrogenen	1	-0.5118
gabriel_swee_7	DarkKirby14	2	0.0
bendover340	lucitribal	2	0.6415
Citrogenen	lucitribal	2	0.4093
Dino	Hupen	1	-0.3818
bementar	DarkKirby14	1	0.7906
ZanduVid	Stardust	1	-0.5709
Dino	Aris	7	0.566971428571
lucitribal	yubehq	1	0.7003
EmberBreeze	Aris	10	0.40459
goej	MattStrzok	1	0.0
Eskandar	eric1_z	1	-0.2382
Newguyondeck	simkel	2	0.59285
Aris	goej	1	0.0
Claire	Citrogenen	1	0.3182
DeusExMachina	FairEnough	3	0.305633333333
LiberalGuy	StrivewireChris	1	0.3804
gabriel_swee_7	FairEnough	2	-0.0258
insomnia	Stardust	2	0.4021
LiberalGuy	Chaos_Theory	1	0.7351
Asimov	Ludiko	1	0.4588
Derpetologist	mmoates	1	0.3182
Declaration	codywohlers	1	0.4623
slalaurette	EmberBreeze	1	0.0
divbit	Derpetologist	1	0.3612
Bil1ion	toodles	1	0.0
Newguyondeck	Chipped	1	-0.8445
elocinasile	eric1_z	1	0.1116
KevinUxbridge	Falsomagro	1	0.8779
Derpetologist	Crossposted	2	-0.0231
lucitribal	Citrogenen	2	-0.13405
Ricky0101	imaguy	1	0.9622
LiberalGuy	removed	1	0.3182
Insertnamehere	insomnia	1	0.3612
Aris	Chaos_Theory	2	0.8043
Empoopled	KevinUxbridge	1	-0.7184
Ludiko	Insertnamehere	1	0.4404
Elathen	mufc	1	0.957
FairEnough	Citrogenen	1	0.8176
removed	Insertnamehere	1	-0.2732
lucitribal	Aris	7	0.639071428571
Pink	jackripper	1	-0.1027
Chaos_Theory	Aris	6	0.426283333333
Newguyondeck	LiberalGuy	1	-0.6913
Asimov	bigpappyj	1	-0.1531
goej	FairEnough	1	0.2023
captainfez	Stardust	1	0.0
MikeHunt	teamvista	1	0.25
DarkKirby14	Elathen	1	0.0
jackripper	Stardust	3	0.293766666667
MikahMancer	FairEnough	1	0.6486
Empoopled	Elathen	1	0.0
mobh	Stardust	1	0.0
Citrogenen	jansegers	1	0.1421
itzBolt	Weizi	1	0.6597
Binerexis	HeroOfCanton	1	0.5489
Newguyondeck	gabriel_swee_7	1	-0.7418
Fantonald	Kupa	2	-0.1706
MisterWonka	FairEnough	1	0.7967
scorpion	Aris	1	0.0
marmotjmarmot	Aris	1	-0.4939
Eskandar	removed	1	0.368
pogla	Aris	1	-0.5423
Katantunoro	toodles	1	-0.4753
jackripper	Googolplexbyte	1	0.5267
DeusExMachina	Musekyto	1	-0.5106
MisterWonka	HeroOfCanton	1	0.4588
Aris	Aris	55	0.13012
thatcoolmartian	eric1_z	1	-0.8211
Stardust	Aris	41	0.303648780488
troctzul	Citrogenen	1	0.8356
Aris	Stardust	1	0.4404
Aris	teamvista	1	0.807
gkaos	Aris	1	0.5994
HeroOfCanton	yubehq	1	0.128
Asimov	Fantonald	3	0.147633333333
Ludiko	NULL	1	-0.3751
Newguyondeck	TimSpeer	1	-0.9482
HeroOfCanton	My-Trips	1	0.8519
StoptheNWO	Aris	2	0.6992
